student_id,name,gender,age,height,weight,score_math,score_english,enroll_date,city,phone,income
S1044,王慧,女,21,,60,55,47,09/01/2021,Shanghai,,6000
S1047,,M,16,180,,81,85,2021/09/01,Shanghai,,
S1064, 赵元 ,M,21,170,50,78,45,2021-09-01,beijing,,"￥5,000"
S1067,陈琪,M,22,1.75,,93,87,2021-09-01,Beijing,,6000
S1067,王慧,F,17,170,70,83,99,09/01/2021,Shanghai,13800000000,"￥5,000"
S1009, 赵元 ,M,,1.75,50,58,82,09/01/2021,Beijing,,
S1083,陈琪,,-5,,,47,43,2021-09-01,BJ,,6000
S1021,王慧,F,18,1.75,,68,50,09/01/2021,Beijing,,"￥5,000"
S1036,陈琪,女,16,1.6,,41,90,2021-09-01,beijing,,6000
S1087,王慧,F,24,1.6,50,81,97,2021/09/01,BJ,,"￥5,000"
S1070, 赵元 ,M,20,1.6,60,42,67,2021-09-01,BJ,,
S1088,,M,24,1.6,,90,65,09/01/2021,beijing,138-0000-0000,
S1088,陈琪,,24,1.6,,68,43,2021/09/01,Beijing,138-0000-0000,6000
S1012,陈琪,女,17,1.75,70,54,54,2021-09-01,Beijing,13800000000,6000
S1058, 赵元 ,女,15,1.6,60,77,58,2021-09-01,BJ,138-0000-0000,"￥5,000"
S1065,王慧,F,-5,180,,67,45,09/01/2021,BJ,13800000000,6000
S1039,,M,24,1.75,,94,98,09/01/2021,beijing,138-0000-0000,
S1087, 赵元 ,M,,,60,76,44,,Beijing,138-0000-0000,
S1046, 赵元 ,F,-5,1.75,60,71,57,2021-09-01,Beijing,138-0000-0000,
S1088,,男,16,170,50,69,45,2021/09/01,Beijing,13800000000,6000
S1081,王慧,M,24,,50,90,70,09/01/2021,beijing,13800000000,"￥5,000"
S1037,陈琪,女,200,1.6,,200,64,2021/09/01,beijing,138-0000-0000,
S1025,陈琪,F,15,1.6,70,86,43,,BJ,138-0000-0000,
S1077,,F,21,170,50,69,45,09/01/2021,Shanghai,13800000000,6000
S1072,陈琪,,15,1.6,50,90,80,2021/09/01,Shanghai,13800000000,6000
S1009,,M,200,,,73,76,2021-09-01,BJ,138-0000-0000,6000
S1020,,M,19,,70,52,98,2021/09/01,BJ,138-0000-0000,6000
S1080,,女,23,,60,72,89,2021-09-01,Shanghai,138-0000-0000,"￥5,000"
S1069,陈琪,男,19,1.75,70,81,95,2021/09/01,BJ,138-0000-0000,6000
S1079, 赵元 ,女,18,1.75,,56,64,2021-09-01,Shanghai,13800000000,"￥5,000"
S1047,陈琪,男,18,,70,42,73,2021-09-01,Beijing,,"￥5,000"
S1064,陈琪,,23,1.75,,48,58,2021/09/01,Beijing,13800000000,
S1082,,女,23,1.75,,91,73,09/01/2021,Beijing,13800000000,
S1088,陈琪,女,-5,180,50,-10,54,2021-09-01,Beijing,,6000
S1049,,M,-5,1.75,,50,89,,beijing,,
S1029,,女,22,180,70,88,47,2021/09/01,beijing,13800000000,"￥5,000"
S1019,陈琪,M,15,180,70,66,93,,Beijing,13800000000,6000
S1019,陈琪,,18,1.75,50,67,83,2021-09-01,BJ,,6000
S1014,,男,23,1.75,,96,86,2021-09-01,Beijing,,6000
S1039,王慧,女,22,1.75,70,96,88,2021/09/01,BJ,,6000
S1032, 赵元 ,,22,1.6,60,41,92,,beijing,13800000000,
S1065,陈琪,M,200,180,50,40,73,2021-09-01,Shanghai,138-0000-0000,6000
S1009,,男,16,1.6,,45,57,,beijing,,"￥5,000"
S1057,陈琪,女,23,,60,64,69,09/01/2021,Shanghai,138-0000-0000,6000
S1032, 赵元 ,女,19,1.75,70,74,52,2021/09/01,BJ,138-0000-0000,
S1031,陈琪,F,22,,60,55,94,2021-09-01,Beijing,13800000000,"￥5,000"
S1074, 赵元 ,女,15,1.6,60,43,86,2021/09/01,Shanghai,13800000000,
S1023,王慧,,-5,180,50,200,94,,Shanghai,138-0000-0000,
S1035,陈琪,女,,170,60,86,72,2021/09/01,Beijing,13800000000,
S1075,陈琪,女,19,1.75,60,77,74,,BJ,,
S1055,,F,24,,,83,91,,Beijing,,6000
S1028,王慧,F,15,,60,59,63,09/01/2021,Beijing,138-0000-0000,
S1034,,F,200,,,64,,2021/09/01,beijing,138-0000-0000,6000
S1000,陈琪,女,21,1.6,70,46,65,,BJ,,6000
S1000,,男,,1.6,50,60,86,2021/09/01,Shanghai,,
S1036,王慧,男,19,170,60,46,90,2021/09/01,Beijing,138-0000-0000,"￥5,000"
S1053,王慧,,17,1.6,60,68,83,2021/09/01,beijing,,
S1005,陈琪,女,19,180,,91,92,2021/09/01,Shanghai,13800000000,
S1038,王慧,F,21,180,,46,81,2021-09-01,Beijing,13800000000,6000
S1017,陈琪,男,18,,50,42,86,,Beijing,138-0000-0000,6000
S1079,,女,200,1.75,60,68,40,2021/09/01,BJ,13800000000,6000
S1004,陈琪,F,18,,70,68,52,2021-09-01,Beijing,138-0000-0000,6000
S1042,陈琪,,22,180,50,78,94,2021-09-01,Shanghai,13800000000,
S1058,,男,23,180,60,77,49,09/01/2021,Shanghai,13800000000,"￥5,000"
S1031,王慧,男,20,180,70,99,58,09/01/2021,beijing,138-0000-0000,"￥5,000"
S1001,王慧,M,15,,60,45,44,2021/09/01,Beijing,,"￥5,000"
S1065,王慧,F,23,170,70,85,47,09/01/2021,Shanghai,138-0000-0000,"￥5,000"
S1041, 赵元 ,M,20,1.75,60,49,43,2021-09-01,BJ,138-0000-0000,6000
S1057,陈琪,,-5,170,,76,88,,Shanghai,,
S1035,王慧,M,19,170,70,94,52,2021/09/01,Beijing,13800000000,6000
S1011, 赵元 ,女,22,1.75,,53,77,09/01/2021,Beijing,138-0000-0000,6000
S1046,陈琪,男,,180,60,61,92,,BJ,138-0000-0000,
S1082,,M,200,180,70,99,85,2021-09-01,Beijing,138-0000-0000,
